DS,Site,Crop,Field Type,Stage,Part,Season,Richness,Shannon,Abundance,Damage,E,PH,RF,RH,T
HK,Mool oya,Cabbage,Agriculture,Mature,Leaf,rainy,1,0,1,9,1395,5.25,2.615,85.2,19.6
HK,Mool oya,Leeks,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1395,5.44,2.1,70.4,26.5
HK,Mool oya,Leeks,Agriculture,Mature,Leaf,rainy,2,0.636514168,3,5,1395,5.25,2.615,85.2,19.6
HK,Rikillagaskada,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,3,882,5.67,1.8,89.8,25.6
HK,Rikillagaskada,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.636514168,3,7,882,6.35,5.98,91.9,24
KT,Beramana,Chili,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,4,976,6.23,1.6,78.2,25.1
KT,Beramana,Chili,Agriculture,Mature,Leaf,rainy,2,0.636514168,6,18.5,976,6.155,4.185,88.2,23.3
KT,Beramana,Chili,Agriculture,Mature,Root,non-rainy,1,0,1,0,976,6.23,1.6,78.2,25.1
KT,Beramana,Chili,Agriculture,Mature,Root,rainy,1,0,5,1,976,6.155,4.185,88.2,23.3
KT,Beramana,Pumpkin,Agriculture,Mature,Flower,rainy,1,0,1,12,976,6.155,4.185,88.2,23.3
KT,Beramana,Pumpkin,Agriculture,Mature,Fruit,non-rainy,1,0,1,1,976,6.23,1.6,78.2,25.1
KT,Beramana,Pumpkin,Agriculture,Mature,Fruit,rainy,1,0,3,4,976,6.155,4.185,88.2,23.3
KT,Beramana,Pumpkin,Agriculture,Mature,Leaf,non-rainy,1,0,1,6,976,6.23,1.6,78.2,25.1
KT,Beramana,Pumpkin,Agriculture,Mature,Leaf,rainy,1,0,5,27,976,6.155,4.185,88.2,23.3
KT,Kalapitiya,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,1,3,922,5.79,1.6,86.2,26.1
KT,Kalapitiya,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.636514168,3,9,922,5.285,4.025,89.6,25.1
KT,Kalapitiya,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,922,5.79,1.6,86.2,26.1
KT,Kalapitiya,Carrot,Agriculture,Mature,Leaf,rainy,1,0,2,1,922,5.285,4.025,89.6,25.1
KT,Kalapitiya,Carrot,Agriculture,Mature,Root,non-rainy,1,0,1,0,922,5.79,1.6,86.2,26.1
KT,Kalapitiya,Carrot,Agriculture,Mature,Root,rainy,1,0,4,2,922,5.285,4.025,89.6,25.1
KT,Kikiliyamanna,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,2,1553,7.23,4.6,84,21.2
KT,Kikiliyamanna,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.900256051,8,6.333333333,1553,7.44,8.565,86.95,20.1
KT,Kikiliyamanna,German Turnip,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,0.5,1553,7.23,4.6,84,21.2
KT,Kikiliyamanna,German Turnip,Agriculture,Mature,Leaf,rainy,2,0.636514168,12,3.5,1553,7.44,8.565,86.95,20.1
KT,Kudaoya,Strawberry,Polytunnel,Mature,Bud,non-rainy,2,0.693147181,2,1,1715,4.48,2.7,82.5,22.7
KT,Kudaoya,Strawberry,Polytunnel,Mature,Bud,rainy,3,1.011404265,6,4,1715,6.095,3.95,71.85,21.3
KT,Kudaoya,Strawberry,Polytunnel,Mature,Fruit,non-rainy,3,0.943348392,10,6,1715,4.48,2.7,82.5,22.7
KT,Kudaoya,Strawberry,Polytunnel,Mature,Fruit,rainy,3,0.876005766,28,26.66666667,1715,6.095,3.95,71.85,21.3
KT,Kudaoya,Strawberry,Polytunnel,Mature,Leaf,non-rainy,3,1.004242473,7,6,1715,4.48,2.7,82.5,22.7
KT,Kudaoya,Strawberry,Polytunnel,Mature,Leaf,rainy,3,0.90698478,24,25.33333333,1715,6.095,3.95,71.85,21.3
KT,Kudaoya,Strawberry,Polytunnel,Mature,Seedling,non-rainy,2,0.562335145,4,4.5,1715,4.48,2.7,82.5,22.7
KT,Kudaoya,Strawberry,Polytunnel,Mature,Seedling,rainy,2,0.651756561,14,13.66666667,1715,6.095,3.95,71.85,21.3
KT,Labukele,Cabbage,Agriculture,Mature,Leaf,non-rainy,1,0,4,13,1715,4.48,2.7,50,22.7
KT,Labukele,Cabbage,Agriculture,Mature,Leaf,rainy,1,0,17,57,1715,6.095,3.95,71.85,22.3
KT,Mahaweligama,Banana pepper,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1096,6.34,1.6,81.4,23.1
KT,Mahaweligama,Banana pepper,Agriculture,Mature,Leaf,rainy,1,0,2,1,1096,5.78,2.575,85.3,22.7
KT,Mailappawala,Beans,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,896,5.51,6.48,92.7,22.4
KT,Mailappawala,Beans,Agriculture,Mature,Leaf,rainy,1,0,2,5,896,5.615,9.94,96.35,21.5
KT,Mawela,Beans,Agriculture,Mature,Leaf,rainy,1,0,1,4,817,5.085,9.89,91.4,21.4
KT,Mawela,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,817,4.65,6.5,90.1,22.4
KT,Mawela,Radish,Agriculture,Mature,Leaf,rainy,1,0,2,1,817,5.085,9.89,91.4,21.4
KT,Methagama,Radish,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,888,6.07,1.6,84.5,23.3
KT,Methagama,Radish,Agriculture,Mature,Leaf,rainy,1,0,3,3,888,5.9,2.415,89.9,23.1
KT,Palagolla,Cabbage,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,4,9,1246,4.82,2.6,66.3,24.4
KT,Palagolla,Cabbage,Agriculture,Mature,Leaf,rainy,2,0.562335145,16,38.5,1246,5.435,3.9,79.85,24.1
KT,Palagolla,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,1,1246,4.82,2.6,66.3,24.4
KT,Palagolla,Carrot,Agriculture,Mature,Leaf,rainy,1,0,2,4,1246,5.435,3.9,79.85,24.1
KT,Palagolla,Carrot,Agriculture,Mature,Root,non-rainy,1,0,1,0,1246,4.82,2.6,66.3,24.4
KT,Palagolla,Carrot,Agriculture,Mature,Root,rainy,1,0,5,1,1246,5.435,3.9,79.85,24.1
KT,Pundalu oya,Cabbage,Agriculture,Mature,Leaf,non-rainy,4,1.242453325,6,3.5,1204,4.83,4.5,82,21.4
KT,Pundalu oya,Cabbage,Agriculture,Mature,Leaf,rainy,4,1.194355902,21,15,1204,5.115,8.5,90.8,20.1
KT,Pundalu oya,Carrot,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,0.5,1204,4.83,4.5,82,21.4
KT,Pundalu oya,Carrot,Agriculture,Mature,Leaf,rainy,2,0.500402424,10,2.5,1204,5.115,8.5,90.8,20.1
KT,Pundalu oya,Carrot,Agriculture,Mature,Root,non-rainy,1,0,1,0,1204,4.83,4.5,82,21.4
KT,Pundalu oya,Carrot,Agriculture,Mature,Root,rainy,1,0,5,1,1204,5.115,8.5,90.8,20.1
KT,Rawanagoda,Cabbage,Agriculture,Mature,Leaf,rainy,1,0,1,2,979,5.6,2.415,90.45,22.5
KT,Rawanagoda,Leeks,Agriculture,Mature,Leaf,rainy,1,0,1,2,979,5.6,2.415,90.45,22.5
KT,Rawanagoda,Radish,Agriculture,Mature,Leaf,rainy,1,0,1,2,979,5.6,2.415,90.45,22.5
KT,Ruvanpura,Chili,Agriculture,Mature,Leaf,non-rainy,1,0,1,5,750,5.64,1.6,94,22.5
KT,Ruvanpura,Chili,Agriculture,Mature,Leaf,rainy,1,0,2,21,750,5.245,2.415,96.75,22.2
KT,Watagoda,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,4,1214,7.03,3.8,80,21.8
KT,Watagoda,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.927617334,15,17.33333333,1214,6.985,6.915,88.1,21.6
NE,Agarapathana,Beans,Agriculture,Mature,Leaf,non-rainy,2,0.636514168,3,1,1387,7.05,3.8,81,24.4
NE,Agarapathana,Beans,Agriculture,Mature,Leaf,rainy,2,0.655481774,11,4.5,1387,6.775,5.39,87.85,21.2
NE,Agarapathana,Beans,Agriculture,Mature,Pod,rainy,1,0,1,1,1387,6.775,5.39,87.85,21.2
NE,Agarapathana,Beetroot,Agriculture,Mature,Leaf,non-rainy,2,0.562335145,4,5,1387,7.05,3.8,81,24.4
NE,Agarapathana,Beetroot,Agriculture,Mature,Leaf,rainy,2,0.636514168,15,21.5,1387,6.775,5.39,87.85,21.2
NE,Agarapathana,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,0.964962923,9,7,1387,7.05,3.8,81,24.4
NE,Agarapathana,Cabbage,Agriculture,Mature,Leaf,rainy,3,0.88361714,32,29.33333333,1387,6.775,5.39,87.85,21.2
NE,Agarapathana,Carrot,Agriculture,Mature,Leaf,non-rainy,2,0.673011667,5,1,1387,7.05,3.8,81,24.4
NE,Agarapathana,Carrot,Agriculture,Mature,Leaf,rainy,2,0.673011667,20,5.5,1387,6.775,5.39,87.85,21.2
NE,Agarapathana,Leeks,Agriculture,Mature,Leaf,non-rainy,3,1.039720771,4,5.666666667,1387,7.05,3.8,81,24.4
NE,Agarapathana,Leeks,Agriculture,Mature,Leaf,rainy,3,0.992281975,14,23.66666667,1387,6.775,5.39,87.85,21.2
NE,Agarapathana,Lettuce,Agriculture,Mature,Leaf,non-rainy,2,0.673011667,5,8,1387,7.05,3.8,81,24.4
NE,Agarapathana,Lettuce,Agriculture,Mature,Leaf,rainy,2,0.680629488,19,35.5,1387,6.775,5.39,87.85,21.2
NE,Agarapathana,Red lettuce,Agriculture,Mature,Leaf,non-rainy,2,0.682908105,7,6.5,1387,7.05,3.8,81,24.4
NE,Agarapathana,Red lettuce,Agriculture,Mature,Leaf,rainy,2,0.686961577,27,26.5,1387,6.775,5.39,87.85,21.2
NE,Ambewela,Beetroot,Agriculture,Mature,Leaf,non-rainy,2,0.693147181,2,3,1942,6.49,9.5,83,23.5
NE,Ambewela,Beetroot,Agriculture,Mature,Leaf,rainy,2,0.661563238,8,11,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Cabbage,Agriculture,Mature,Leaf,non-rainy,3,1.054920168,5,6,1942,6.49,9.5,83,23.5
NE,Ambewela,Cabbage,Agriculture,Mature,Leaf,rainy,4,1.164364512,19,20.75,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Carrot,Agriculture,Mature,Leaf,non-rainy,1,0,1,0,1942,6.49,9.5,83,23.5
NE,Ambewela,Carrot,Agriculture,Mature,Leaf,rainy,1,0,2,1,1942,6.515,10.36,91.5,22.1
NE,Ambewela,Leeks,Agriculture,Mature,Leaf,non-rainy,3,0.950270539,5,5.666666667,1942,6.49,9.5,83,23.5
NE,Ambewela,Leeks,Agriculture,Mature,Leaf,rainy,3,0.860851391,15,25.33333333,1942,6.515,10.36,91.5,22.1
